TIME	        VALUE	LABEL
0.000000000	    147.656	147.66 bpm
4.458231293	    132.512	132.51 bpm
23.777233560	129.199	129.20 bpm
25.263310658	132.512	132.51 bpm
40.124081633	129.199	129.20 bpm
49.040544218	126.048	126.05 bpm
50.526621315	135.999	136.00 bpm
52.012698413	132.512	132.51 bpm
53.498775510	129.199	129.20 bpm
54.984852608	132.512	132.51 bpm
62.415238095	129.199	129.20 bpm
69.845623583	132.512	132.51 bpm
71.331700680	129.199	129.20 bpm
95.108934240	132.512	132.51 bpm
96.595011338	135.999	136.00 bpm